instnm,Latitude location of institution (HD2019),Institution (entity) name (HD2019),Institution name alias (HD2019),Longitude location of institution (HD2019),Office of Postsecondary Education (OPE) ID Number (HD2019),Latitude location of institution (HD2012),Longitude location of institution (HD2012),Office of Postsecondary Education (OPE) ID Number (HD2012),
American Business and Technology University,39.779095,American Business and Technology University, ,-94.819797,04118700  ,39.792813,-94.811169,04118700  ,
American Career College-Anaheim,33.849912,American Career College-Anaheim, ,-117.975599,02241801  ,33.849876,-117.975644,02241801  ,
American Career College-Los Angeles,34.079323,American Career College-Los Angeles, ,-118.292481,02241800  ,34.079236,-118.292282,02241800  ,
American Career College-Ontario,34.068204,American Career College-Ontario, ,-117.583814,03971300  ,34.068204,-117.583814,03971300  ,
American College for Medical Careers,28.470997,American College for Medical Careers, ,-81.402271,00466600  ,28.312251,-81.562232,00466610  ,
American College of Acupuncture and Oriental Med,29.735747,American College of Acupuncture and Oriental Med, ,-95.524765,03153300  ,29.735747,-95.524522,03153300  ,
American College of Barbering,38.084678,American College of Barbering, ,-85.670147,04204800  ,,,,
American College of Education,39.769750,American College of Education, ,-86.160161,04151300  ,39.769933,-86.160173,04151300  ,
American College of Financial Services,40.101644,American College of Financial Services,The American College,-75.394652,03317300  ,40.018084,-75.326655,03317300  ,
American College of Hair Design Inc,38.711715,American College of Hair Design Inc, ,-93.269026,02309100  ,38.699237,-93.253073,02309100  ,
American College of Hairstyling-Des Moines,41.592324,American College of Hairstyling-Des Moines,Iowa School of Men's Hairstyling  Inc. dba  American College of Hairstyling - Des Moines,-93.610159,00765800  ,41.592188,-93.610649,00765800  ,
American College of Healthcare and Technology,33.901581,American College of Healthcare and Technology, ,-117.493507,03144400  ,33.900487,-117.493808,03144400  ,
American College of Healthcare and Technology,33.978807,American College of Healthcare and Technology, ,-118.224906,03144402  ,,,,
American College of Healthcare Sciences,45.486902,American College of Healthcare Sciences, ,-122.675858,04194400  ,45.480449,-122.674781,04194400  ,
American College of the Building Arts,32.805094,American College of the Building Arts, ,-79.946888,04283000  ,,,,
American Conservatory Theater,37.787343,American Conservatory Theater, ,-122.404750,02099200  ,37.787326,-122.404945,02099200  ,
American Educational College,18.397931,American Educational College, ,-66.150990,02303800  ,18.396942,-66.146866,02303800  ,
American Film Institute Conservatory,34.107670,American Film Institute Conservatory,American Film Institute  AFI Conservatory  AFI,-118.310018,02222000  ,34.108460,-118.309989,02222000  ,
American Fitness and Nutrition Academy,34.139700,American Fitness and Nutrition Academy,AFNA,-118.131854,04265600  ,,,,
American Hair Academy,40.962643,American Hair Academy, ,-91.524949,02289000  ,40.630777,-91.314095,02289000  ,
