instnm,Latitude location of institution (HD2019),Institution (entity) name (HD2019),Institution name alias (HD2019),Longitude location of institution (HD2019),Office of Postsecondary Education (OPE) ID Number (HD2019),Latitude location of institution (HD2012),Longitude location of institution (HD2012),Office of Postsecondary Education (OPE) ID Number (HD2012),
American National University,37.299743,American National University, ,-80.023602,00372600  ,37.299714,-80.023597,00372600  ,
American National University-Dayton,39.701120,American National University-Dayton, ,-84.127340,00372609  ,39.700131,-84.126973,00372609  ,
American National University-Lexington,38.026996,American National University-Lexington, ,-84.421099,01048900  ,38.028845,-84.419122,01048907  ,
American Public University System,39.287826,American Public University System,American Military University  American Public University,-77.860121,03819300  ,39.288383,-77.859781,03819300  ,
American River College,38.650850,American River College,American River | ARC,-121.349672,00123200  ,38.649734,-121.346012,00123200  ,
American Samoa Community College,-14.322636,American Samoa Community College,ASCC,-170.742774,01001000  ,-14.322587,-170.742728,01001000  ,
American School of Nursing and Medical Careers,42.997765,American School of Nursing and Medical Careers, ,-71.468655,00466607  ,42.979069,-71.449010,00466607  ,
American Sentinel University,39.676610,American Sentinel University, ,-104.831161,04127700  ,39.676944,-104.831164,04127700  ,
American Technical Institute,18.376070,American Technical Institute,AMTEC,-66.177409,04176000  ,18.370471,-66.187237,04176000  ,
American Trade School,38.728760,American Trade School, ,-90.380141,04174800  ,38.728500,-90.379675,04174800  ,
American University,38.936005,American University, ,-77.088875,00143400  ,38.937802,-77.090106,00143400  ,
American University of Health Sciences,33.796849,American University of Health Sciences,AUHS,-118.171366,03225300  ,33.797115,-118.171442,03225300  ,
American University of Puerto Rico,18.434072,American University of Puerto Rico, ,-66.478655,01194101  ,18.434072,-66.478655,01194101  ,
American University of Puerto Rico,18.407058,American University of Puerto Rico, ,-66.186631,01194100  ,18.406139,-66.186780,01194100  ,
AmeriTech College-Draper,40.527932,AmeriTech College-Draper,Ameritech College of Healthcare,-111.892792,02270800  ,40.527932,-111.892792,02270802  ,
AmeriTech College-Provo,40.261512,AmeriTech College-Provo,Ameritech College of Healthcare,-111.669276,02270804  ,40.261360,-111.668028,02270800  ,
AMG School of Licensed Practical Nursing,40.692794,AMG School of Licensed Practical Nursing, ,-73.982035,04234900  ,,,,
Amherst College,42.372459,Amherst College, ,-72.518493,00211500  ,42.372459,-72.518493,00211500  ,
Amridge University,32.362609,Amridge University,Southern Christian University  Regions University,-86.174010,02503400  ,32.362609,-86.174010,02503400  ,
Amslee Institute,27.379792,Amslee Institute, ,-82.433630,-2        ,,,,
Anabaptist Mennonite Biblical Seminary,41.656013,Anabaptist Mennonite Biblical Seminary,AMBS | Mennonite Biblical Seminary | Mennonite Seminary,-85.972165,00182300  ,41.656093,-85.972222,00182300  ,
Ancilla College,41.337958,Ancilla College, ,-86.445263,00178400  ,41.337978,-86.445448,00178400  ,
Anderson University,40.112768,Anderson University, ,-85.664315,00178500  ,40.112167,-85.662292,00178500  ,
Anderson University,34.515200,Anderson University,AU,-82.640358,00341800  ,34.515506,-82.640205,00341800  ,
Andover Newton Theological School,41.323386,Andover Newton Theological School, ,-72.921380,00211600  ,42.324729,-71.189586,00211600  ,
Andrew College,31.772321,Andrew College, ,-84.795021,00154500  ,31.772321,-84.795021,00154500  ,
Andrews University,41.963859,Andrews University,Andrews,-86.355815,00223800  ,41.963330,-86.355871,00223800  ,
Angeles College,34.061223,Angeles College, ,-118.299030,04160400  ,34.061733,-118.299111,04160400  ,
Angeles Institute,33.875772,Angeles Institute, ,-118.080741,04164400  ,33.858399,-118.084880,04164400  ,
Angelina College,31.287444,Angelina College,AC,-94.731625,00666100  ,31.287360,-94.731630,00666100  ,
Angelo State University,31.440914,Angelo State University,Angelo State,-100.465051,00354100  ,31.441450,-100.466495,00354100  ,
Ann Webb Skin Institute,30.419687,Ann Webb Skin Institute, ,-97.751895,04265400  ,,,,
Anna Maria College,42.330542,Anna Maria College, ,-71.918960,00211700  ,42.330550,-71.918961,00211700  ,
Anne Arundel Community College,39.049813,Anne Arundel Community College,AACC,-76.512223,00205800  ,39.049813,-76.512223,00205800  ,
Annenberg School of Nursing,34.200825,Annenberg School of Nursing, ,-118.553851,04191300  ,34.200082,-118.553427,04191300  ,
Anoka Technical College,45.216709,Anoka Technical College, ,-93.416087,00735000  ,45.216331,-93.415955,00735000  ,
Anoka-Ramsey Community College,45.172978,Anoka-Ramsey Community College,Anoka-Ramsey Community College-Coon Rapids Campus|Anoka-Ramsey Community College-Cambridge Campus|ARCC|AR|Anoka Ramsey|Anoka-Ramsey|Anoka Ramsey Community College,-93.351697,00233200  ,45.172978,-93.351697,00233200  ,
Another Level Barbering and Cosmetology School,37.228645,Another Level Barbering and Cosmetology School, ,-77.403817,04275900  ,,,,
Anousheh School of Hair,42.087554,Anousheh School of Hair, ,-75.917306,04275100  ,,,,
Anson College of Cosmetology,34.963535,Anson College of Cosmetology, ,-80.055083,03237300  ,,,,
Antelope Valley College,34.676207,Antelope Valley College, ,-118.186166,00111300  ,34.676207,-118.186166,00111300  ,
Antilles School of Technical Careers,18.438416,Antilles School of Technical Careers, ,-66.059206,02234900  ,18.360241,-66.077208,02234900  ,
Antioch College,39.799806,Antioch College, ,-83.888077,04244300  ,,,,
Antioch University Online,39.803210,Antioch University Online, ,-83.908684,-2        ,,,,
Antioch University-Los Angeles,33.988533,Antioch University-Los Angeles,AULA|Antioch|Antiok|Antioc|Antoich,-118.384458,00301002  ,33.987640,-118.384651,00301002  ,
Antioch University-Midwest,39.803210,Antioch University-Midwest,Antioch University McGregor,-83.908684,00301000  ,39.795828,-83.892094,00301000  ,
Antioch University-New England,42.932344,Antioch University-New England,Antioch New England Graduate School,-72.293798,00301004  ,42.932344,-72.293798,00301004  ,
Antioch University-PhD Program in Leadership and Change,39.803210,Antioch University-PhD Program in Leadership and Change, ,-83.908684,00301010  ,39.802668,-83.908239,00301010  ,
Antioch University-Santa Barbara,34.419203,Antioch University-Santa Barbara,AUSB,-119.695800,00301003  ,34.418948,-119.695636,00301003  ,
Antioch University-Seattle,47.615916,Antioch University-Seattle, ,-122.346318,00301005  ,47.616960,-122.342647,00301005  ,
Antioch University-System Administration,39.803210,Antioch University-System Administration, ,-83.908684,00301000  ,39.802668,-83.908239,00803100  ,
Antonelli College-Cincinnati,39.104312,Antonelli College-Cincinnati, ,-84.510735,01289100  ,39.103991,-84.510764,01289100  ,
Antonelli College-Hattiesburg,31.349549,Antonelli College-Hattiesburg, ,-89.335692,01289102  ,31.349549,-89.335692,01289102  ,
Antonelli College-Jackson,32.380927,Antonelli College-Jackson, ,-90.149713,01289101  ,32.328918,-90.122970,01289101  ,
AOMA Graduate School of Integrative Medicine,30.228551,AOMA Graduate School of Integrative Medicine,AOMA,-97.800643,03156400  ,30.228724,-97.801407,03156400  ,
Aparicio-Levy Technical College,27.990625,Aparicio-Levy Technical College, ,-82.332285,04194200  ,,,,
Apex Academy Hair Skin Nails School of Cosmetology,40.771672,Apex Academy Hair Skin Nails School of Cosmetology, ,-82.577702,04266100  ,,,,
Apex School of Theology,35.922645,Apex School of Theology,ASOT,-78.841386,03513400  ,35.924383,-78.843448,03513400  ,
Apex Technical School,40.750430,Apex Technical School, ,-73.941511,00751800  ,40.740701,-73.994812,00751800  ,
Apollo Career Center,40.692999,Apollo Career Center,Apollo JVS  Apollo Career Center  Apollo Joint Vocational School,-84.149151,02562300  ,40.692220,-84.149710,02562300  ,
Appalachian Beauty School,37.624479,Appalachian Beauty School, ,-82.266793,02159100  ,37.672192,-82.295552,02159100  ,
Appalachian Bible College,37.853335,Appalachian Bible College, ,-81.198867,00754400  ,37.853339,-81.201150,00754400  ,
Appalachian College of Pharmacy,37.211629,Appalachian College of Pharmacy, ,-82.006195,04180600  ,37.211496,-82.005227,04180600  ,
Appalachian School of Law,37.277669,Appalachian School of Law, ,-82.095648,03559300  ,37.278007,-82.096426,03559300  ,
Appalachian State University,36.215536,Appalachian State University,Appalachian State University,-81.680583,00290600  ,36.201658,-81.662569,00290600  ,
Applied Technology Services,38.542285,Applied Technology Services, ,-90.413236,03068600  ,38.778863,-90.293882,03068600  ,
Aquinas College,42.960190,Aquinas College,AQ,-85.628785,00223900  ,42.960449,-85.626166,00223900  ,
Aquinas Institute of Theology,38.634329,Aquinas Institute of Theology,Aquinas Institute  A.I.  A.I.T.,-90.237795,00163200  ,38.635008,-90.237365,00163200  ,
Arapahoe Community College,39.607505,Arapahoe Community College, ,-105.018631,00134600  ,39.607505,-105.018631,00134600  ,
Arcadia University,40.092606,Arcadia University,Beaver College,-75.163876,00323500  ,40.091941,-75.165205,00323500  ,
Arclabs,34.770720,Arclabs,Arclabs Welding School,-82.461311,04222000  ,,,,
Aria Health School of Nursing,40.125175,Aria Health School of Nursing, ,-74.978275,00972300  ,40.126120,-74.978842,00972300  ,
Arizona Academy of Beauty-East,32.237253,Arizona Academy of Beauty-East, ,-110.872305,00886400  ,32.237253,-110.872305,00886400  ,
Arizona Board of Regents,33.470161,Arizona Board of Regents, ,-112.074468,02598000  ,33.470136,-112.073908,02598000  ,
Arizona Christian University,33.622952,Arizona Christian University, ,-112.181776,00711300  ,33.595117,-112.026211,00711300  ,
Arizona College-Dallas,32.923106,Arizona College-Dallas, ,-96.759990,03115003  ,,,,
Arizona College-Glendale,33.566360,Arizona College-Glendale, ,-112.154233,03115000  ,33.567495,-112.154247,03115000  ,
Arizona College-Las Vegas,36.145600,Arizona College-Las Vegas, ,-115.171331,03115002  ,,,,
Arizona College-Mesa,33.418374,Arizona College-Mesa, ,-111.873428,03115001  ,,,,
Arizona College-Tempe,33.403079,Arizona College-Tempe, ,-111.965808,03115004  ,,,,
Arizona Culinary Institute,33.581935,Arizona Culinary Institute, ,-111.831237,04120900  ,33.581935,-111.831237,04120900  ,
Arizona School of Acupuncture and Oriental Medicine,32.264559,Arizona School of Acupuncture and Oriental Medicine, ,-110.929118,03695500  ,32.261305,-110.893387,03695500  ,
Arizona School of Integrative Studies,32.230130,Arizona School of Integrative Studies,ASIS Massage Education,-110.969111,04233100  ,,,,
Arizona State University-Downtown Phoenix,33.452914,Arizona State University-Downtown Phoenix,ASU Downtown Phoenix,-112.073470,00108103  ,,,,
Arizona State University-Polytechnic,33.307142,Arizona State University-Polytechnic,ASU Polytechnic,-111.677225,00108102  ,,,,
Arizona State University-Skysong,33.463786,Arizona State University-Skysong,ASU Skysong,-111.923861,00108159  ,,,,
Arizona State University-Tempe,33.417721,Arizona State University-Tempe,ASU Tempe  ASU Main,-111.934383,00108100  ,33.421922,-111.940011,00108100  ,
Arizona State University-West,33.607260,Arizona State University-West,ASU West,-112.160021,00108101  ,,,,
Arizona Western College,32.689306,Arizona Western College,AWC  A.W.C.  AZ Western  AZ Western College  Arizona Western  Yuma/LaPaz Community College District  Yuma/La Paz Counties Community College District,-114.495968,00107100  ,32.689306,-114.495968,00107100  ,
Arkansas Baptist College,34.734751,Arkansas Baptist College, ,-92.290555,00108700  ,34.734751,-92.290555,00108700  ,
Arkansas Beauty College,35.279020,Arkansas Beauty College, ,-93.135369,03997300  ,35.278622,-93.135220,03997300  ,
Arkansas Beauty School-Little Rock,34.672171,Arkansas Beauty School-Little Rock, ,-92.343366,03005100  ,34.669071,-92.334814,03005100  ,
Arkansas College of Barbering and Hair Design,34.753843,Arkansas College of Barbering and Hair Design, ,-92.266429,03023400  ,34.753621,-92.266336,03023400  ,
Arkansas Colleges of Health Education,35.317421,Arkansas Colleges of Health Education,Arkansas College of Osteopathic Medicine  ARCOM,-94.319084,04256800  ,,,,
Arkansas Northeastern College,35.898597,Arkansas Northeastern College, ,-89.921005,01286000  ,35.897362,-89.922491,01286000  ,
Arkansas State University Mid-South,35.145736,Arkansas State University Mid-South,ASU Mid-South,-90.222850,02348200  ,35.145736,-90.222850,02348200  ,
Arkansas State University System,34.745820,Arkansas State University System,ASU System,-92.287580,00109000  ,35.822069,-90.676110,00109000  ,
Arkansas State University Three Rivers,34.378745,Arkansas State University Three Rivers,ASUTR,-92.821416,00997600  ,34.378745,-92.821416,00997600  ,
Arkansas State University-Beebe,35.074176,Arkansas State University-Beebe,ASU-BEEBE,-91.895351,00109100  ,35.074512,-91.896165,00109100  ,
Arkansas State University-Main Campus,35.842388,Arkansas State University-Main Campus,Arkansas State University-Jonesboro,-90.679988,00109000  ,35.842779,-90.680478,00109000  ,
Arkansas State University-Mountain Home,36.320466,Arkansas State University-Mountain Home, ,-92.388581,04254400  ,36.335336,-92.383355,00109003  ,
Arkansas State University-Newport,35.638722,Arkansas State University-Newport,ASUN  ASU-Newport  ASU Newport  Arkansas State University Newport  Arkansas State University - Newport,-91.188846,04203400  ,35.640328,-91.189524,00109002  ,
Arkansas Tech University,35.293237,Arkansas Tech University,ATU|Tech|Arkansas Tech,-93.135620,00108900  ,35.295227,-93.132330,00108900  ,
Arkansas Welding Academy,34.883474,Arkansas Welding Academy, ,-92.139911,04274100  ,,,,
Arlington Baptist University,32.739489,Arlington Baptist University,ABU,-97.156024,02081400  ,32.739543,-97.155661,02081400  ,
Arlington Career Institute,32.772440,Arlington Career Institute, ,-97.052772,02521200  ,32.772440,-97.052772,02521200  ,
Arnolds Beauty School,35.919195,Arnolds Beauty School, ,-88.760125,02257400  ,35.917765,-88.758926,02257400  ,
Arnot Ogden Medical Center,42.101171,Arnot Ogden Medical Center, ,-76.828062,00643500  ,42.100990,-76.828353,00643500  ,
Arrojo Cosmetology School,40.722909,Arrojo Cosmetology School,NA Enterprises LLC d/b/a Arrojo Cosmetology School,-74.007770,04223100  ,,,,
Art Academy of Cincinnati,39.108805,Art Academy of Cincinnati,AAC,-84.513913,00301100  ,39.108382,-84.497573,00301100  ,
Art Center College of Design,34.169031,Art Center College of Design, ,-118.185102,00111600  ,34.170844,-118.186901,00111600  ,
Arthur's Beauty College Inc-Fort Smith,35.379955,Arthur's Beauty College Inc-Fort Smith, ,-94.410967,02363500  ,35.379955,-94.410967,02363500  ,
Arthur's Beauty College Inc-Jacksonville,34.891572,Arthur's Beauty College Inc-Jacksonville, ,-92.102579,02538500  ,34.891800,-92.102284,02538500  ,
Arthur's Beauty College-Jonesboro,35.817823,Arthur's Beauty College-Jonesboro, ,-90.681520,02363502  ,,,,
Arthur's Beauty School Inc-Conway,35.109764,Arthur's Beauty School Inc-Conway, ,-92.445479,02538502  ,35.109134,-92.445990,02538502  ,
Artistic Academy of Hair Design,40.855589,Artistic Academy of Hair Design,Artistic Academy,-74.486405,02525900  ,40.855589,-74.486405,02525900  ,
Artistic Nails and Beauty Academy-Lakeland,28.053634,Artistic Nails and Beauty Academy-Lakeland, ,-81.947180,03816301  ,28.054964,-81.945311,03816301  ,
Artistic Nails and Beauty Academy-Tampa,27.951358,Artistic Nails and Beauty Academy-Tampa, ,-82.403486,03816300  ,27.951358,-82.403486,03816300  ,
ASA College,40.691464,ASA College,ASA Institute  ASA  ASA - The College for Excellence,-73.986076,03095500  ,40.692405,-73.986027,03095500  ,
Asbury Theological Seminary,37.861561,Asbury Theological Seminary, ,-84.660127,00195300  ,37.863704,-84.661862,00195300  ,
Asbury University,37.862029,Asbury University,dba Asbury College,-84.662606,00195200  ,37.862029,-84.662606,00195200  ,
Asher College,38.587784,Asher College, ,-121.415767,04057300  ,38.587784,-121.415767,04057300  ,
Asheville-Buncombe Technical Community College,35.570439,Asheville-Buncombe Technical Community College,A-B Tech,-82.554826,00403300  ,35.571055,-82.555838,00403300  ,
Ashford University,32.827300,Ashford University, ,-117.141961,00188100  ,41.851944,-90.199127,00188100  ,
Ashland Community and Technical College,38.469201,Ashland Community and Technical College,ACTC,-82.650664,00199000  ,38.469201,-82.650664,00199000  ,
Ashland County-West Holmes Career Center,40.801018,Ashland County-West Holmes Career Center,ACWHCC Adult Education  Ashland County Career Center,-82.266808,03117000  ,40.772463,-82.272726,03117000  ,
