instnm,Longitude location of institution (HD2019),Latitude location of institution (HD2019),City location of institution (HD2019),Office of Postsecondary Education (OPE) ID Number (HD2019),
Augusta University,-81.989071,33.470370,Augusta,00157900  ,
Augustana College,-90.550570,41.502365,Rock Island,00163300  ,
Augustana University,-96.736975,43.525148,Sioux Falls,00345800  ,
Auguste Escoffier School of Culinary Arts-Austin,-97.717865,30.326455,Austin,03727600  ,
Auguste Escoffier School of Culinary Arts-Boulder,-105.250075,39.983475,Boulder,03776300  ,
Aultman College of Nursing and Health Sciences,-81.404053,40.796186,Canton,00648700  ,
Aurora University,-88.349023,41.753631,Aurora,00163400  ,
Austin College,-96.596331,33.646345,Sherman,00354300  ,
Austin Community College District,-97.712505,30.322744,Austin,01201500  ,
Austin Graduate School of Theology,-97.711751,30.343842,Austin,02362800  ,
Austin Kade Academy,-112.001128,43.482859,Idaho Falls,04203500  ,
Austin Peay State University,-87.354081,36.533319,Clarksville,00347800  ,
Austin Presbyterian Theological Seminary,-97.736958,30.292010,Austin,00354400  ,
Austin's Beauty College Inc,-87.362846,36.521386,Clarksville,04142000  ,
Automeca Technical College-Aguadilla,-67.141800,18.448502,Aguadilla,02297702  ,
Automeca Technical College-Bayamon,-66.180088,18.406325,Bayamon,02297700  ,
Automeca Technical College-Caguas,-66.037144,18.230554,Caguas,02297701  ,
Automeca Technical College-Ponce,-66.636854,18.011391,Ponce,02297705  ,
Automotive Training Center-Exton,-75.643079,40.058206,Exton,01162100  ,
Automotive Training Center-Warminster,-75.075375,40.200656,Warminster,01162101  ,
Autry Technology Center,-97.897190,36.419122,Enid,00834300  ,
Avalon School of Cosmetology,-95.602503,43.631842,Worthington,04160500  ,
Avalon School of Cosmetology-Alameda,-122.243566,37.764203,Alameda,02258600  ,
Avalon School of Cosmetology-Aurora,-104.848602,39.676308,Aurora,03027400  ,
Avalon School of Cosmetology-Layton,-112.003639,41.089919,Layton,01085802  ,
Avalon School of Cosmetology-Mesa,-111.858305,33.376583,Mesa,01085800  ,
Avalon School of Cosmetology-Phoenix,-112.068000,33.641761,Phoenix,01085801  ,
Ave Maria School of Law,-81.731358,26.242138,Naples,03691400  ,
Ave Maria University,-81.438945,26.335983,Ave Maria,03941300  ,
Aveda Arts & Sciences Institute-Baton Rouge,-91.054308,30.426526,Baton Rouge,02258400  ,
Aveda Arts & Sciences Institute-Covington,-90.104008,30.494049,Covington,02600900  ,
Aveda Arts & Sciences Institute-Lafayette,-92.042092,30.206168,Lafayette,02117800  ,
Aveda Arts & Sciences Institute-San Antonio,-98.452126,29.637354,San Antonio,04142300  ,
Aveda Fredric's Institute-Cincinnati,-84.361091,39.355410,West Chester,03837300  ,
Aveda Fredric's Institute-Indianapolis,-86.066049,39.908216,Indianapolis,04155900  ,
Aveda Institute Portland-Vancouver Campus,-122.603849,45.643767,Vancouver,04171401  ,
Aveda Institute-Boise,-116.309994,43.620545,Boise,04176700  ,
Aveda Institute-Chapel Hill,-79.026769,35.927944,Chapel Hill,04140700  ,
Aveda Institute-Chicago,-87.645838,41.933493,Chicago,04141000  ,
Aveda Institute-Columbus,-83.043021,40.062719,Columbus,04137800  ,
Aveda Institute-Denver,-104.992758,39.745214,Denver,04167100  ,
Aveda Institute-Des Moines,-93.802586,41.562675,West Des Moines,04203300  ,
Aveda Institute-Los Angeles,-118.446566,34.062797,Los Angeles,04137801  ,
Aveda Institute-Madison,-89.398711,43.072676,Madison,03808301  ,
Aveda Institute-Maryland,-76.349927,39.531933,Bel Air,02269700  ,
Aveda Institute-Minneapolis,-93.253713,44.987863,Minneapolis,02123200  ,
Aveda Institute-New Mexico,-106.667464,35.091873,Albuquerque,04174500  ,
Aveda Institute-New York,-74.004970,40.725861,New York,03839300  ,
Aveda Institute-Phoenix,-111.968721,33.338893,Tempe,04194501  ,
Aveda Institute-Portland,-122.684740,45.525507,Portland,04171400  ,
Aveda Institute-Provo,-111.658335,40.236621,Provo,04072300  ,
Aveda Institute-South Florida,-80.251766,26.070447,Davie,04119400  ,
Aveda Institute-Tallahassee,-84.317892,30.442037,Tallahassee,04134800  ,
Aveda Institute-Tucson,-110.968361,32.220141,Tucson,04194500  ,
Aveda Institute-Twin Falls,-114.461545,42.593567,Twin Falls,00987300  ,
Avenue Academy  A Cosmetology Institute,-106.570491,35.107227,Albuquerque,04271600  ,
Avenue Five Institute,-97.728961,30.369503,Austin,04160700  ,
Avenue Five Institute-South Austin Campus,-97.756266,30.221953,Austin,04160701  ,
Avera McKennan Hospital School of Radiologic Technology,-96.715584,43.533972,Sioux Falls,00492900  ,
Avera Sacred Heart Hospital,-97.407865,42.872359,Yankton,00598700  ,
Averett University,-79.413203,36.577287,Danville,00370200  ,
Averett University-Non-Traditional Programs,-79.413203,36.577287,Danville,00370200  ,
Avery James School of Cosmetology,-93.219712,30.202601,Lake Charles,00989800  ,
Avi Career Training,-77.296823,38.974295,Great Falls,04038400  ,
Aviation Institute of Maintenance,-121.921350,37.468594,Freemont,04240200  ,
Aviation Institute of Maintenance-Atlanta,-84.147864,33.948914,Duluth,03523300  ,
Aviation Institute of Maintenance-Charlotte,-80.736311,35.161941,Charlotte,03176301  ,
Aviation Institute of Maintenance-Chesapeake,-76.268688,36.778525,Chesapeake,03126300  ,
Aviation Institute of Maintenance-Dallas,-96.941822,32.836068,Irving,03573300  ,
Aviation Institute of Maintenance-Houston,-95.282620,29.658520,Houston,04146700  ,
Aviation Institute of Maintenance-Indianapolis,-86.288273,39.753062,Indianapolis,03176300  ,
Aviation Institute of Maintenance-Kansas City,-94.498289,39.049869,Kansas City,03616300  ,
Aviation Institute of Maintenance-Las Vegas,-115.118122,36.083117,Las Vegas,03523301  ,
Aviation Institute of Maintenance-Manassas,-77.514594,38.794493,Manassas,03883400  ,
Aviation Institute of Maintenance-Orlando,-81.334196,28.680653,Casselberry,04156400  ,
Aviation Institute of Maintenance-Philadelphia,-75.007237,40.070184,Philadelphia,03110700  ,
Aviator College of Aeronautical Science and Technology,-80.367303,27.487180,Fort Pierce,03986300  ,
Avila University,-94.591758,38.913390,Kansas City,00244900  ,
Award Beauty School,-77.720283,39.640443,Hagerstown,00826300  ,
Ayers Career College,-93.798229,32.418291,Shreveport,00462100  ,
Azusa Pacific University,-117.888375,34.130047,Azusa,00111700  ,
B M Spurr School of Practical Nursing,-80.752394,39.946126,Glen Dale,01235900  ,
B-Unique Beauty and Barber Academy,-82.365104,34.844106,Greenville,04239000  ,
Babson College,-71.264057,42.297017,Wellesley,00212100  ,
Bacone College,-95.334046,35.777082,Muskogee,00314700  ,
Bais Binyomin Academy,-74.078802,41.123013,Monsey,04267800  ,
Bais HaMedrash and Mesivta of Baltimore,-76.674414,39.379528,Baltimore,04188400  ,
Bais Medrash Elyon,-74.069798,41.114079,Monsey,02622900  ,
Bais Medrash Mayan Hatorah,-74.204332,40.107414,Lakewood,04266000  ,
Bais Medrash Toras Chesed,-74.211270,40.099704,Lakewood,04081300  ,
Baker College,-84.172404,42.984804,Owosso,00467300  ,
Baker University,-95.188231,38.777278,Baldwin City,00190300  ,
Bakersfield College,-118.973753,35.409110,Bakersfield,00111800  ,
Bakke Graduate University,-96.753976,32.894605,Dallas,03110800  ,
Baldwin Beauty School-North Austin,-97.729371,30.365855,Austin,01226801  ,
Baldwin Beauty School-South Austin,-97.783062,30.241662,Austin,01226800  ,
Baldwin Park Adult & Community Education,-117.959486,34.096730,Baldwin Park,03067400  ,
Baldwin Wallace University,-81.851145,41.373017,Berea,00301400  ,
Baldy View Regional Occupational Program,-117.636712,34.046457,Ontario,04256500  ,
Ball State University,-85.409043,40.203431,Muncie,00178600  ,
Baltimore City Community College,-76.662878,39.319978,Baltimore,00206100  ,
Baltimore Studio of Hair Design,-76.620008,39.293371,Baltimore,02494700  ,
Bancroft School of Massage Therapy,-71.778113,42.268973,Worcester,02337400  ,
Bank Street College of Education,-73.966643,40.805604,New York,00266900  ,
Baptist Bible College,-93.284286,37.239696,Springfield,01320800  ,
Baptist Health College Little Rock,-92.406920,34.713115,Little Rock,03105200  ,
Baptist Health System School of Health Professions,-98.567486,29.517063,San Antonio,00660600  ,
Baptist Memorial College of Health Sciences,-90.027501,35.138415,Memphis,03440300  ,
Baptist Missionary Association Theological Seminary,-95.255524,31.978961,Jacksonville,02331200  ,
Baptist Theological Seminary at Richmond,-77.468483,37.632354,Henrico,03116900  ,
Baptist University of the Americas,-98.546081,29.349980,San Antonio,03733300  ,
Barber & Beauty Institute of New York,-73.615341,40.699830,Hempstead,04189000  ,
Barber Institute of Texas,-94.732635,32.462970,Longview,04229000  ,
Barber School of Pittsburgh,-80.034160,40.441863,Pittsburgh,04224600  ,
Barber Tech Academy,-80.856946,33.492394,Orangeburg,04243500  ,
Barclay College,-99.105351,37.620120,Haviland,00191700  ,
Bard College,-73.909927,42.020386,Annandale-On-Hudson,00267100  ,
Bard College at Simon's Rock,-73.379201,42.208803,Great Barrington,00964500  ,
Barnard College,-73.963346,40.810098,New York,00270800  ,
Barnes-Jewish College Goldfarb School of Nursing,-90.258772,38.637165,Saint Louis,00638900  ,
Barrett and Company School of Hair Design,-84.580326,37.866361,Nicholasville,02518900  ,
Barry University,-80.198925,25.878908,Miami,00146600  ,
Barstow Community College,-117.023412,34.870285,Barstow,00111900  ,
Barton College,-77.913867,35.734376,Wilson,00290800  ,
Barton County Community College,-98.731648,38.403529,Great Bend,00460800  ,
Bastyr University,-122.251708,47.729935,Kenmore,02242500  ,
Bates College,-70.203333,44.105299,Lewiston,00203600  ,
Bates Technical College,-122.446830,47.251743,Tacoma,00530600  ,
Baton Rouge Community College,-91.137935,30.448276,Baton Rouge,03730300  ,
Baton Rouge General Medical Center-School of Nursing,-91.153084,30.449088,Baton Rouge,02335700  ,
Baton Rouge School of Computers,-91.080837,30.422155,Baton Rouge,02197500  ,
Bay Area Medical Academy,-122.406318,37.790775,San Francisco,04223700  ,
Bay de Noc Community College,-87.085228,45.772586,Escanaba,00224000  ,
Bay Mills Community College,-84.607089,46.454584,Brimley,03066600  ,
Bay Path University,-72.583382,42.055088,Longmeadow,00212200  ,
Bay State College,-71.071615,42.350966,Boston,00396500  ,
Bay State School of Technology,-71.114231,42.179506,Canton,02338200  ,
Bayamon Community College,-66.155908,18.398313,Bayamon,03758300  ,
Baylor College of Medicine,-95.395743,29.710600,Houston,00494900  ,
Baylor University,-97.121041,31.546872,Waco,00354500  ,
Bayshire Academy of Beauty Craft Inc,-83.888950,43.599758,Bay City,02285700  ,
Be'er Yaakov Talmudic Seminary,-74.028425,41.139050,Spring Valley,04192800  ,
Beacon College,-81.874150,28.811281,Leesburg,03373300  ,
Beal College,-68.785428,44.786465,Bangor,00520400  ,
Beau Monde Academy of Cosmetology,-122.654560,45.531839,Portland,02154400  ,
Beaufort County Community College,-76.965350,35.533587,Washington,00855800  ,
Beaumont Adult School,-116.964728,33.951365,Beaumont,03999300  ,
Beauty Academy of South Florida,-80.323571,25.862890,Hialeah Gardens,04170300  ,
Beauty School of Middletown,-74.428046,41.424621,Middletown,00739100  ,
Beauty Schools of America-Hialeah,-80.303784,25.865702,Hialeah,02283800  ,
Beauty Schools of America-Homestead,-80.446293,25.475883,Homestead,02283805  ,
Beauty Schools of America-Miami,-80.304459,25.759918,Miami,02283801  ,
Beauty Schools of America-North Miami Beach,-80.163498,25.926243,North Miami Beach,02283804  ,
Beauty Technical College Inc,-94.962015,35.915551,Tahlequah,02510300  ,
Beaver Falls Beauty Academy,-80.320347,40.754161,Beaver Falls,01191900  ,
Becker College,-71.811894,42.269171,Worcester,00212300  ,
Beckfield College-Florence,-84.641475,39.017166,Florence,02491100  ,
Beis Medrash Heichal Dovid,-73.751633,40.596845,Far Rockaway,03713300  ,
Bel-Rea Institute of Animal Technology,-104.876207,39.686194,Denver,01267000  ,
Belanger School of Nursing,-73.915884,42.802979,Schenectady,00644800  ,
Belhaven University,-90.169228,32.318415,Jackson,00239700  ,
Bell Mar Beauty College,-87.767244,41.850656,Cicero,02536700  ,
Bella Academy of Cosmetology,-88.542233,44.018434,Oshkosh,04231400  ,
Bella Capelli Academy,-79.781672,40.432494,Monroeville,04151700  ,
Bella Cosmetology College,-96.107802,33.119725,Greenville,04235900  ,
Bellarmine University,-85.704997,38.219279,Louisville,00195400  ,
Bellasa Professional Institute,-80.183799,25.890157,North Miami,04273600  ,
Belle Academy of Cosmetology LLC,-73.055819,41.597490,Waterbury,04224200  ,
Bellevue College,-122.150118,47.584014,Bellevue,00376900  ,
Bellevue University,-95.917640,41.150225,Bellevue,00974300  ,
Bellin College,-87.921722,44.468277,Green Bay,00663900  ,
Bellingham Technical College,-122.512160,48.766189,Bellingham,00499900  ,
Bellus Academy,-96.608270,39.191749,Manhattan,02343401  ,
Bellus Academy-Chula Vista,-117.083738,32.614773,Chula Vista,00705000  ,
Bellus Academy-El Cajon,-116.946270,32.794072,El Cajon,01202600  ,
Bellus Academy-Poway,-117.042531,32.957184,Poway,02343400  ,
Belmont Abbey College,-81.041315,35.260651,Belmont,00291000  ,
Belmont College,-80.964901,40.076950,St Clairsville,00994100  ,
Belmont University,-86.794807,36.135589,Nashville,00347900  ,
Beloit College,-89.029285,42.504022,Beloit,00383500  ,
Bemidji State University,-94.874119,47.482341,Bemidji,00233600  ,
Ben Franklin Career Center,-81.753530,38.367234,Dunbar,01274300  ,
Bene's Career Academy,-82.728584,28.259612,New Port Richey,03018500  ,
Benedict College,-81.020403,34.012941,Columbia,00342000  ,
Benedictine College,-95.111473,39.572646,Atchison,01025600  ,
Benedictine University,-88.097307,41.777569,Lisle,00176700  ,
Benjamin Franklin Institute of Technology,-71.070231,42.346023,Boston,00215100  ,
Bennett Career Institute,-76.995965,38.932640,Washington,03409600  ,
Bennett College,-79.779980,36.067531,Greensboro,00291100  ,
Bennington College,-73.237799,42.919547,Bennington,00368200  ,
Bentley University,-71.222839,42.385995,Waltham,00212400  ,
Berea College,-84.292893,37.572020,Berea,00195500  ,
Bergen Community College,-74.088804,40.951782,Paramus,00473600  ,
Bergin University of Canine Studies,-122.666954,38.289155,Penngrove,04176300  ,
Berk Trade and Business School,-73.930982,40.745021,Long Island City,01183000  ,
Berkeley City College,-122.269877,37.869769,Berkeley,02242700  ,
Berkeley College-New York,-73.979458,40.753986,New York,00739400  ,
Berkeley College-Woodland Park,-74.189483,40.898587,Woodland Park,00750200  ,
Berklee College of Music,-71.089405,42.346646,Boston,00212600  ,
Berkowits School of Electrolysis,-73.845213,40.709736,Forest Hills,04273200  ,
Berks Career & Technology Center,-76.000808,40.388341,Leesport,04041300  ,
Berkshire Community College,-73.314704,42.459750,Pittsfield,00216700  ,
Berry College,-85.189202,34.290414,Mount Berry,00155400  ,
Best Care College,-74.221116,40.765332,East Orange,04181400  ,
Bet Medrash Gadol Ateret Torah,-73.969945,40.607809,Brooklyn,04227200  ,
Beth Hamedrash Shaarei Yosher Institute,-73.981202,40.635444,Brooklyn,01119200  ,
Beth Hatalmud Rabbinical College,-73.992684,40.605256,Brooklyn,01192200  ,
Beth Medrash Govoha,-74.222100,40.095680,Lakewood,00794700  ,
Beth Medrash Meor Yitzchok,-74.060843,41.100906,Monsey,04210400  ,
Beth Medrash of Asbury Park,-74.210816,40.043705,Lakewood,04251500  ,
Bethany College,-97.673670,38.580598,Lindsborg,00190400  ,
Bethany College,-80.560056,40.205819,Bethany,00380800  ,
Bethany Global University,-93.371754,44.795501,Bloomington,04227800  ,
Bethany Lutheran College,-93.990805,44.166649,Mankato,00233700  ,
Bethany Theological Seminary,-84.910689,39.826244,Richmond,00163700  ,
Bethel College,-76.409526,37.041270,Hampton,04153800  ,
Bethel College-North Newton,-97.343256,38.075169,North Newton,00190500  ,
Bethel Seminary-San Diego,-117.066050,32.765387,San Diego,00905804  ,
Bethel Seminary-St Paul,-93.163180,45.060071,Saint Paul,00905803  ,
Bethel University,-93.161663,45.057655,Saint Paul,00905800  ,
Bethel University,-88.516762,36.137848,McKenzie,00348000  ,
Bethel University,-86.194686,41.678399,Mishawaka,00178700  ,
Bethesda University,-117.941323,33.842295,Anaheim,03266300  ,
Bethlehem College & Seminary,-93.255399,44.968872,Minneapolis,-2        ,
Bethune-Cookman University,-81.032946,29.207195,Daytona Beach,00146700  ,
Beulah Heights University,-84.357680,33.736993,Atlanta,03076300  ,
