instnm,Longitude location of institution (HD2019),Latitude location of institution (HD2019),City location of institution (HD2019),Office of Postsecondary Education (OPE) ID Number (HD2019),
Arizona School of Acupuncture and Oriental Medicine,-110.929118,32.264559,Tucson,03695500  ,
Arizona School of Integrative Studies,-110.969111,32.230130,Tucson,04233100  ,
Arizona State University-Downtown Phoenix,-112.073470,33.452914,Phoenix,00108103  ,
Arizona State University-Polytechnic,-111.677225,33.307142,Mesa,00108102  ,
Arizona State University-Skysong,-111.923861,33.463786,Scottsdale,00108159  ,
Arizona State University-Tempe,-111.934383,33.417721,Tempe,00108100  ,
Arizona State University-West,-112.160021,33.607260,Glendale,00108101  ,
Arizona Western College,-114.495968,32.689306,Yuma,00107100  ,
Arkansas Baptist College,-92.290555,34.734751,Little Rock,00108700  ,
Arkansas Beauty College,-93.135369,35.279020,Russellville,03997300  ,
Arkansas Beauty School-Little Rock,-92.343366,34.672171,Little Rock,03005100  ,
Arkansas College of Barbering and Hair Design,-92.266429,34.753843,North Little Rock,03023400  ,
Arkansas Colleges of Health Education,-94.319084,35.317421,Fort Smith,04256800  ,
Arkansas Northeastern College,-89.921005,35.898597,Blytheville,01286000  ,
Arkansas State University Mid-South,-90.222850,35.145736,West Memphis,02348200  ,
Arkansas State University System,-92.287580,34.745820,Little Rock,00109000  ,
Arkansas State University Three Rivers,-92.821416,34.378745,Malvern,00997600  ,
Arkansas State University-Beebe,-91.895351,35.074176,Beebe,00109100  ,
Arkansas State University-Main Campus,-90.679988,35.842388,Jonesboro,00109000  ,
Arkansas State University-Mountain Home,-92.388581,36.320466,Mountain Home,04254400  ,
Arkansas State University-Newport,-91.188846,35.638722,Newport,04203400  ,
Arkansas Tech University,-93.135620,35.293237,Russellville,00108900  ,
Arkansas Welding Academy,-92.139911,34.883474,Jacksonville,04274100  ,
Arlington Baptist University,-97.156024,32.739489,Arlington,02081400  ,
Arlington Career Institute,-97.052772,32.772440,Grand Prairie,02521200  ,
Arnolds Beauty School,-88.760125,35.919195,Milan,02257400  ,
Arnot Ogden Medical Center,-76.828062,42.101171,Elmira,00643500  ,
Arrojo Cosmetology School,-74.007770,40.722909,New York,04223100  ,
Art Academy of Cincinnati,-84.513913,39.108805,Cincinnati,00301100  ,
Art Center College of Design,-118.185102,34.169031,Pasadena,00111600  ,
Arthur's Beauty College Inc-Fort Smith,-94.410967,35.379955,Fort Smith,02363500  ,
Arthur's Beauty College Inc-Jacksonville,-92.102579,34.891572,Jacksonville,02538500  ,
Arthur's Beauty College-Jonesboro,-90.681520,35.817823,Jonesboro,02363502  ,
Arthur's Beauty School Inc-Conway,-92.445479,35.109764,Conway,02538502  ,
Artistic Academy of Hair Design,-74.486405,40.855589,Morris Plains,02525900  ,
Artistic Nails and Beauty Academy-Lakeland,-81.947180,28.053634,Lakeland,03816301  ,
Artistic Nails and Beauty Academy-Tampa,-82.403486,27.951358,Tampa,03816300  ,
ASA College,-73.986076,40.691464,Brooklyn,03095500  ,
Asbury Theological Seminary,-84.660127,37.861561,Wilmore,00195300  ,
Asbury University,-84.662606,37.862029,Wilmore,00195200  ,
Asher College,-121.415767,38.587784,Sacramento,04057300  ,
Asheville-Buncombe Technical Community College,-82.554826,35.570439,Asheville,00403300  ,
Ashford University,-117.141961,32.827300,San Diego,00188100  ,
Ashland Community and Technical College,-82.650664,38.469201,Ashland,00199000  ,
Ashland County-West Holmes Career Center,-82.266808,40.801018,Ashland,03117000  ,
Ashland University,-82.321061,40.861755,Ashland,00301200  ,
Ashtabula County Technical and Career Campus,-80.733023,41.746864,Jefferson,02187900  ,
ASI Career Institute,-75.045442,39.756604,Turnersville,04188700  ,
Asian-American International Beauty College,-117.991643,33.759524,Westminster,02595600  ,
ASM Beauty World Academy,-80.222145,26.045461,Hollywood,03012300  ,
Asnuntuck Community College,-72.570177,41.998409,Enfield,01115000  ,
Aspen Beauty Academy of Laurel,-76.822219,39.099633,Laurel,04204000  ,
